Departure Index (c),Travel segment (a),Day (b),Time of departure (2400),Arrival Time
82,10,Mon,17:18,18:31
83,10,Mon,17:24,18:37
84,10,Mon,17:30,18:43
85,10,Mon,17:36,18:49
86,10,Mon,17:42,18:55
87,10,Mon,17:48,19:01
88,10,Mon,17:54,19:07
89,10,Mon,18:00,19:13
90,10,Mon,18:06,19:19
91,10,Mon,18:12,19:25
92,10,Mon,18:18,19:31
93,10,Mon,18:24,19:37
94,10,Mon,18:36,19:49
95,10,Mon,18:48,20:01
96,10,Mon,19:00,20:13
97,10,Mon,19:15,20:28
98,10,Mon,19:30,20:43
99,10,Mon,19:45,20:58
100,10,Mon,20:00,21:13
101,10,Mon,20:15,21:28
102,10,Mon,20:30,21:43
103,10,Mon,20:45,21:58
104,10,Mon,21:00,22:13
105,10,Mon,21:15,22:28
106,10,Mon,21:30,22:43
107,10,Mon,21:45,22:58
108,10,Mon,22:00,23:13
109,10,Mon,22:15,23:28
110,10,Mon,22:30,23:43
111,10,Mon,22:45,23:58
112,10,Mon,23:00,0:13
113,10,Mon,23:15,0:28
114,10,Mon,23:30,0:43
115,10,Mon,23:45,0:58
116,10,Mon,0:00,1:13
