Departure Index (c),Travel segment (a),Day (b),Time of departure (2400),Arrival Time
77,7,Mon,16:48,18:00
78,7,Mon,16:54,18:06
79,7,Mon,17:00,18:12
80,7,Mon,17:06,18:18
81,7,Mon,17:12,18:24
82,7,Mon,17:18,18:30
83,7,Mon,17:24,18:36
84,7,Mon,17:30,18:42
85,7,Mon,17:36,18:48
86,7,Mon,17:42,18:54
87,7,Mon,17:48,19:00
88,7,Mon,17:54,19:06
89,7,Mon,18:00,19:12
90,7,Mon,18:06,19:18
91,7,Mon,18:12,19:24
92,7,Mon,18:18,19:30
93,7,Mon,18:24,19:36
94,7,Mon,18:36,19:48
95,7,Mon,18:48,20:00
96,7,Mon,19:00,20:12
97,7,Mon,19:12,20:24
98,7,Mon,19:24,20:36
99,7,Mon,19:36,20:48
100,7,Mon,19:48,21:00
101,7,Mon,20:00,21:12
102,7,Mon,20:12,21:24
103,7,Mon,20:24,21:36
104,7,Mon,20:36,21:48
105,7,Mon,20:48,22:00
106,7,Mon,21:00,22:12
107,7,Mon,21:12,22:24
108,7,Mon,21:24,22:36
109,7,Mon,21:36,22:48
110,7,Mon,21:48,23:00
111,7,Mon,22:00,23:12
112,7,Mon,22:12,23:24
113,7,Mon,22:24,23:36
114,7,Mon,22:36,23:48
115,7,Mon,22:48,0:00
116,7,Mon,23:00,0:12
117,7,Mon,23:12,0:24
118,7,Mon,23:24,0:36
119,7,Mon,23:36,0:48
120,7,Mon,23:48,1:00
121,7,Mon,0:00,1:12
