,zi,Fac,a,c
243,1320,1,3,88
244,1320,0.75,3,89
245,1320,0.5,3,90
246,1320,0.25,3,91
339,1320,1,4,88
340,1320,0.75,4,89
341,1320,0.5,4,90
342,1320,0.25,4,91
438,1320,1,5,91
439,1320,0.75,5,92
440,1320,0.5,5,93
441,1320,0.25,5,94
537,1320,1,6,91
538,1320,0.75,6,92
539,1320,0.5,6,93
540,1320,0.25,6,94
646,1320,1,7,101
647,1320,0.75,7,102
648,1320,0.5,7,103
649,1320,0.25,7,104
755,1320,1,8,101
756,1320,0.75,8,102
757,1320,0.5,8,103
758,1320,0.25,8,104
849,1320,0,9,86
247,1380,1,3,92
248,1380,0.75,3,93
249,1380,0.5,3,94
250,1380,0.25,3,95
343,1380,1,4,92
344,1380,0.75,4,93
345,1380,0.5,4,94
346,1380,0.25,4,95
442,1380,1,5,95
443,1380,0.75,5,96
444,1380,0.5,5,97
445,1380,0.25,5,98
541,1380,1,6,95
542,1380,0.75,6,96
543,1380,0.5,6,97
544,1380,0.25,6,98
650,1380,1,7,105
651,1380,0.75,7,106
652,1380,0.5,7,107
653,1380,0.25,7,108
759,1380,1,8,105
760,1380,0.75,8,106
761,1380,0.5,8,107
762,1380,0.25,8,108
251,1440,1,3,96
347,1440,1,4,96
446,1440,1,5,99
545,1440,1,6,99
654,1440,1,7,109
763,1440,1,8,109
